English,German
"practical implications","praktische Auswirkungen"
"pilot phase","Pilotphase"
"full rollout","vollständige Einführung / flächendeckende Einführung"
"adapted","angepasst"
"expand","erweitern"
"appropriate","geeignet / angemessen"
"meaningful","sinnvoll / aussagekräftig"
"performance management","Performance Management / Leistungsmanagement"
"expectations","Erwartungen"
"communication styles","Kommunikationsstile"
"local practices","lokale Gepflogenheiten / Praktiken"
"performance cycle","Performance-Zyklus"
"objectives","Ziele"
"priorities","Prioritäten"
"success criteria","Erfolgskriterien"
"business strategy","Geschäftsstrategie"
"possible obstacles","mögliche Hindernisse"
"check-in","Zwischenbesprechung / Check-in"
"to review progress","Fortschritt überprüfen"
"review progress against objectives","Fortschritt im Hinblick auf Ziele überprüfen"
"ongoing communication","laufende Kommunikation"
"annual review","Jahresgespräch / jährliche Überprüfung"
"guidance","Anleitung / Orientierung / Unterstützung"
"consistent tools","einheitliche Werkzeuge / Tools"
"legal requirements","gesetzliche Anforderungen"
"to provide a framework","einen Rahmen schaffen / bereitstellen"
"flexibility","Flexibilität"
"to clarify objectives","Ziele klären"
"to clarify success criteria","Erfolgskriterien klären"
"to exchange feedback","Feedback austauschen"
"to address concerns early","Bedenken frühzeitig ansprechen"
"to maintain regular contact","regelmäßig in Kontakt bleiben"
"identify concerns at an early stage","Bedenken frühzeitig erkennen"
"ensure expectations remain clear","sicherstellen, dass Erwartungen klar bleiben"
"to take on additional responsibilities","zusätzliche Verantwortung übernehmen"
"to balance A, B and C","A, B und C in Einklang bringen"
"internal equity","interne Lohngerechtigkeit / Gleichbehandlung"
"country-specific differences","länderspezifische Unterschiede"
"set clear expectations regarding","klare Erwartungen festlegen bezüglich"
"support long-term development","langfristige Entwicklung unterstützen"
"align with the hiring manager","sich mit dem Hiring Manager abstimmen"
"recruitment timeline","Zeitplan für die Einstellung"
"technical expertise","fachliche Expertise / technisches Fachwissen"
"fair / comparable assessment","faire / vergleichbare Beurteilung"
"well-founded decision","fundierte Entscheidung"
"compensation discussion","Vergütungsgespräch"
"market conditions","Marktbedingungen"
"salary proposal","Gehaltsvorschlag"
"allowance","Zulage / Zuschuss"
"mobility support","Mobilitätsunterstützung"
"incentive","Anreiz / Incentive"
"transparency","Transparenz"
"objective","Ziel / objektiv"
"open points","offene Punkte"
"responsible for","verantwortlich für"
"to reflect","berücksichtigen / widerspiegeln"
"to involve the relevant stakeholders","die relevanten Stakeholder einbeziehen"
"to provide guidance","Orientierung / Unterstützung geben"
"to create a common framework","einen gemeinsamen Rahmen schaffen"
"to consider specific requirements","spezifische Anforderungen berücksichtigen"
"reduce misunderstandings","Missverständnisse reduzieren"
"coordinate performance feedback","Leistungsfeedback koordinieren"
"pushing the envelope","Grenzen ausloten / neue Wege beschreiten"
"firing on all cylinders","auf Hochtouren laufen / volle Leistung bringen"
"nuts and bolts","die Grundlagen / die praktischen Details"
"rocket science","Raketenwissenschaft; übertragen: etwas besonders Schwieriges"
"light-years ahead","um Lichtjahre voraus"
"on the same wavelength","auf derselben Wellenlänge sein / einer Meinung sein"
"pull the plug","etwas stoppen / den Stecker ziehen"
"recurring","wiederkehrend / regelmäßig"
"to recur","wiederkehren / erneut auftreten"
"to handle something","etwas bearbeiten / handhaben"
"accordingly","entsprechend / dementsprechend"
"to assign","zuweisen / übertragen"
"This has come to my notice","Dies ist mir zur Kenntnis gelangt"
"This has come to my attention","Dies ist mir aufgefallen / zur Kenntnis gelangt"
"to deal with","sich mit etwas befassen / etwas bearbeiten"
"to lead","leiten / führen"
"to head","leiten / anführen"
"to merge","zusammenführen / fusionieren"
"I don’t have access yet","Ich habe noch keinen Zugriff"
"regret","bedauern"
"to resign","kündigen / zurücktreten"
"to retire","in Rente gehen / ausscheiden"
"column","Spalte"
"cell","Zelle"
"row","Zeile"
"cursor","Cursor / Mauszeiger"
"insert","einfügen"
"delete","löschen"
"right-click","Rechtsklick"
"context menu","Kontextmenü"
"sort","sortieren"
"going back to","zurückkommend auf / zurück zu"
"returning to","zurückkommend auf"
"let’s go back to","gehen wir zurück zu"
"build on what I said before","auf dem aufbauen, was ich zuvor gesagt habe"
"fair question","berechtigte Frage"
"thank you for bringing that up","danke, dass Sie das ansprechen"
"taking action","Maßnahmen ergreifen / aktiv werden"
"establish the facts","die Fakten feststellen / klären"
"perspectives involved","betroffene / beteiligte Perspektiven"
"set expectations clearly","Erwartungen klar formulieren / festlegen"
"to seek something","etwas suchen / anstreben"
"to look for","nach etwas suchen"
